,Job Title,Client,Job Description,Location
8053,Data Engineer | TS(SCI Eligible),Connect Talent Solutions,"SQL Server Integration Services (SSIS) including UI and custom codefeatures.Ability to write or create stored procedures, SQL scripts, SSIS packagesthat can be used to:o Move data from source databases to target databaseso Clean / Condition datao Convert or transform datao Reconcile and confirm converted datao Find data errorso Validate data to business ruleso Ability to examine existing ETL scripts and track data back tosource","Springfield, VA 22150"
8055,Data Engineer | TS(SCI Eligible),Connect Talent Solutions,Expertise in operating within an Agile based environment and breakingdown large tasks into smaller story/point based tasks.,"Springfield, VA 22150"
8056,Data Engineer | TS(SCI Eligible),Connect Talent Solutions,"AWS infrastructure functionality and configuration, installation as appliesto databases and specifically.","Springfield, VA 22150"
8058,Data Engineer | TS(SCI Eligible),Connect Talent Solutions,Understanding of SSIS ETL jobs including setting up and monitoring joblength and performance.,"Springfield, VA 22150"
8059,Data Engineer | TS(SCI Eligible),Connect Talent Solutions,SQL Server Reporting Services (SSRS) – Decent to Solidunderstanding of monitoring the SSRS core database tables withregards to report run time and slow reporting performance.,"Springfield, VA 22150"
8069,Data Engineer,Acho Inc.,️ Experience in data visualization software (Tableau/Qlikview) or opensource project,"Boston, MA"
8071,Data Engineer,Acho Inc.,"️ Experience with GCP technologies including Kubernetes, Virtual Machines, BigQuery","Boston, MA"
8077,Data Platform Solution Engineer,Booz Allen Hamilton,Experience with Cloud engineering or design in Amazon Web Services (AWS) or Microsoft Azure,
8078,Data Engineer,Amazon.com,Experience in data visualization software (Tableau/Qlikview) or opensource project,
8105,"Engineer IV, Software  Big Data",Omnicell,"Provide technical leadership to agile teams – onshore and offshore: Mentor junior engineers and new team members, and apply technical expertise to challenging programming and design problems","Boston, MA"
8108,"Engineer IV, Software  Big Data",Omnicell,"Deep development experience of distributed/scalable systems and highvolume transaction applications, participating in architecting big data projects","Boston, MA"
8111,"Engineer IV, Software  Big Data",Omnicell,Experience developing ETL processing flows with MapReduce technologies like Spark and Hadoop,"Boston, MA"
8112,"Engineer IV, Software  Big Data",Omnicell,"Experience developing with ingestion and clustering frameworks such as Kafka, Zookeeper, YARN","Boston, MA"
8113,"Engineer IV, Software  Big Data",Omnicell,"Handson working experience in cloud infrastructure like AWS. Able to scale cade and deploy applications in the public cloud using technologies like AWS, Lambda, Docker, Kubernetes.","Boston, MA"
8115,"Engineer IV, Software  Big Data",Omnicell,"Experience with building streamprocessing systems, using solutions such as Storm or SparkStreaming","Boston, MA"
8116,"Engineer IV, Software  Big Data",Omnicell,"Working knowledge of Databricks, Team Foundation Server, TeamCity, Octopus deploys and DataDog","Boston, MA"
8117,Senior Machine Learning Data Scientist,UnitedHealth Group,"Experience with wrangling large datasets with big data tools such as Hadoop, Hive and Spark",
8120,Software Engineer  Data Integration Engineer,Centime,"Experience in working with RDBMS like MySQL, RDS, Aurora DB and one of the NoSQL Databases like Cassandra","Boston, MA 02109"
8121,Software Engineer  Data Integration Engineer,Centime,"Experience or understanding of Data Services, Microservices, controlling access to Data services","Boston, MA 02109"
8122,DevOps Engineer AWS,Nasuni,"Contribute to maturing the DevOps and SRE practices within Nasuni by utilizing methodologies such as CI/CD, Agile, and Acceptance Test Driven Development.","Boston, MA 02210"
8126,DevOps Engineer AWS,Nasuni,"Experience with infrastructure automation tools (such as Puppet, Packer, CloudFormation, Terraform).","Boston, MA 02210"
8127,Staff Software Engineer  Data Movement Platform,Wayfair,"Optimize or fix issues in open source products such as Kafka Connectors, Brooklin mirror maker, etc for running Wayfair’s production workloads","Boston, MA"
8133,Data Engineers,Northern Light,Experience designing and operating data models and data warehouses as well as experience in SQL and NoSQL database management systems.,"Boston, MA 02129"
8139,Full Stack Software Engineer at Databento,Databento,"Prior internship or working experience at a large tech firm, toptier financial institution, data vendor, or any significant provider or consumer of data analytics","Boston, MA"
8140,Database Engineer,Azara Healthcare,Familiarity with development methodologies including the AGILE development approaches,"Burlington, MA"
8143,Cloud Infrastructure Engineer,WaveSense,"Design and develop data processing pipelines in the cloud, scalability and availability.","Somerville, MA 02143"
8160,Senior Data Engineer,Panjiva,"Familiarity working eventdriven architecture + technologies (e.g., RabbitMQ, Kafka)","Cambridge, MA 02142"
8163,Cloud Engineer,Commonwealth of Massachusetts,"Technology PlanningAzure migration experience with planning and execution.Azure Backup, Automation and Monitoring technology experience.Azure Site Recovery knowledge.Cost Management and Billing planning.Network and Traffic Management planning experience.Planning for Cloud Services especially for Windows Virtual Desktop.Azure data and analytics platform.","Boston, MA 02108"
8166,Cloud Engineer,Commonwealth of Massachusetts,"Must be able to work with Operations, Infrastructure and Development teams to create best practices for secure migration and operation to Azure Cloud Applications development and sandboxing.","Boston, MA 02108"
8172,Cloud Engineer,Commonwealth of Massachusetts,Demonstrable experience of Azure Cloud adoption frameworks archiving migration to cloud infrastructure.,"Boston, MA 02108"
8178,Senior Data Analyst,TrueMotion,"Write and edit data warehouse ETL (extract, transform, and load) pipelines used to add, clean and aggregate data for reports and analyses","Boston, MA 02111"
8180,Senior Data Analyst,TrueMotion,"Ability to code in Python and SQL to update, retrieve and transform data, highlight data changes and identify data incongruencies","Boston, MA 02111"
8185,Principal Data Engineer,Zylotech,Experience using or building infrastructureascode tools such as Docker or Kubernetes,"Cambridge, MA 02139"
8190,Senior Software Engineer  Data Science,Panalgo,"Building, evaluating, and discussing machine learning pipelines; works with BHE Solutions team to ensure the platform can support specific customer projects","Boston, MA 02110"
8191,Senior Software Engineer  Data Science,Panalgo,"Professional experience with the “PyData” stack – e.g. NumPy, pandas, matplotlib, Jupyter Notebook","Boston, MA 02110"
8199,Cloud Engineer,Analog Devices,Understand and appreciate the value of automated testing and TestDriven Development (TDD).,"Boston, MA"
8200,Cloud Engineer,Analog Devices,Know how to use technologies like Ansible or AWS CloudFormation to bend infrastructure to your will.,"Boston, MA"
8202,Cloud Engineer,Analog Devices,"Object oriented development experience, Knowledge of design patterns and familiarity with databases – SQL and NoSQL.","Boston, MA"
8203,Cloud Engineer,Analog Devices,"Familiar with source control management systems (git), Continuous Integration and Continuous Deployment (CI/CD).","Boston, MA"
8204,Cloud Engineer,Analog Devices,"Good understanding of dev ops practices, and infrastructure as code. Knowledge of Ansible or AWS CloudFormation is a plus. Knowledge about Machine Learning is a plus.","Boston, MA"
8207,"CloudHealth  Staff Engineer, (Microservices UI) Boston, MA",VMware,"Produce high quality and welldocumented code in an automated CI/CD and Test environment, taking full ownership of your features from inception to deployment and beyond","Boston, MA 02110"
8208,"CloudHealth  Staff Engineer, (Microservices UI) Boston, MA",VMware,"Work in multifunctional agile teams to regularly experiment, iterate, and deliver on new product objectives with an endtoend responsibility for your team’s goals.","Boston, MA 02110"
8210,DevOps Engineer II,Teikametrics,"Hands on experience with Kubernetes (EKS, GKE) or other container orchestration tools preferred","Boston, MA 02210"
8212,Senior Data Architect Pricing,Wayfair,"Conceptualize and implement foundational data models, Data Lake, ETL pipelines and curated layer servicing multiple reporting platforms","Boston, MA"
8216,Senior Data Architect Pricing,Wayfair,"Experience designing data solutions within cloud platforms such as Google Cloud Platform (preferred), AWS, Azure, or Snowflake including building & optimizing applications on cloud based clusters","Boston, MA"
8217,Senior Data Architect Pricing,Wayfair,"Handson experience with big data ETL technologies like Hadoop, Spark; and experience working with query engines like Presto, BigQuery or other open source big data Query & ETL engines.","Boston, MA"
8220,Senior Data Architect Pricing,Wayfair,"Nice to have: Experience with realtime data streaming tools like Kafka, Kinesis, Apache Storm or any similar tools","Boston, MA"
8221,Senior Software Development Engineer (Senior Data Services Engineer),Sophia Genetics,"Proven experience in designing and implementing ServiceOriented Architectures, Microservices, and APIs,","Boston, MA 02116"
